"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tax1bp3",2.41691862980269e-19,1.18042294049309,1,0.711,4.01015139056862e-15,"2","Tax1bp3"
"Zcchc14",2.65841490397479e-19,0.837683510723704,0.953,0.266,4.41084200867498e-15,"2","Zcchc14"
"Ldb2",3.15996217749069e-19,1.56336361722616,1,0.523,5.24300924489256e-15,"2","Ldb2"
"Cdh51",3.32843319445418e-19,1.33150859205949,1,0.459,5.52253635623837e-15,"2","Cdh5"
"Mtcl1",3.85071837731368e-19,0.315281884111467,0.605,0.064,6.38911193163885e-15,"2","Mtcl1"
"Magi3",4.0866526013245e-19,0.475039575625549,0.977,0.326,6.78057399611761e-15,"2","Magi3"
"Epas11",4.18290425045684e-19,1.34579847500979,1,0.385,6.94027473235798e-15,"2","Epas1"
"Fkbp1a",4.46866049316684e-19,1.10562882293347,1,0.968,7.41440149026242e-15,"2","Fkbp1a"
"Pea15a",4.58443448885736e-19,1.33674187791903,1,0.523,7.60649370391212e-15,"2","Pea15a"
"Jup",4.67277899041395e-19,1.78798618792739,0.977,0.596,7.75307490089483e-15,"2","Jup"
"Tcaf1",4.83924315814537e-19,0.827107970154126,0.977,0.376,8.0292722479948e-15,"2","Tcaf1"
"Colec12",4.89148302604436e-19,0.706762649538693,0.721,0.115,8.1159486368128e-15,"2","Colec12"
"Susd4",5.17681849988556e-19,0.836258135697008,0.721,0.133,8.58937725501012e-15,"2","Susd4"
"Arhgap29",6.37650022130239e-19,2.07825123083338,1,0.537,1.05798891671849e-14,"2","Arhgap29"
"Dock6",6.8006465747663e-19,1.38222801489663,1,0.642,1.12836327968522e-14,"2","Dock6"
"Slc29a1",7.01288196019971e-19,1.48915066187818,0.977,0.683,1.16357737483634e-14,"2","Slc29a1"
"Nrp11",7.20137003774857e-19,1.49174010262012,0.977,0.399,1.19485131666324e-14,"2","Nrp1"
"Rapgef5",7.86255010279081e-19,0.942416243964302,1,0.39,1.30455431305505e-14,"2","Rapgef5"
"Anxa3",8.98516757454028e-19,1.30151419810266,1,0.376,1.49081900396772e-14,"2","Anxa3"
"Podxl",1.05575277804028e-18,1.41265542204072,1,0.427,1.75170500932443e-14,"2","Podxl"
"Fbn21",1.05819836225762e-18,0.981347422099665,0.93,0.28,1.75576272265785e-14,"2","Fbn2"
"Bcl6b",1.11207570341856e-18,0.965223513871093,0.953,0.339,1.84515600711207e-14,"2","Bcl6b"
"Timp3",1.14435014540681e-18,0.917498133580443,0.953,0.372,1.89870576125898e-14,"2","Timp3"
"Ets2",1.25065737607026e-18,1.27580003870088,1,0.817,2.07509071837578e-14,"2","Ets2"
"Bgn",1.26785116701358e-18,1.27968430503375,0.907,0.266,2.10361865630894e-14,"2","Bgn"
"Slc37a3",1.47637150586322e-18,0.408012230597199,0.721,0.133,2.44959560252825e-14,"2","Slc37a3"
"Oit3",1.49964556461932e-18,0.71343884757609,0.465,0.028,2.48821192081637e-14,"2","Oit3"
"Ramp21",1.59010266334292e-18,1.42700708457462,1,0.564,2.63829833901858e-14,"2","Ramp2"
"Gpx7",1.76795311283818e-18,0.40915167821782,0.86,0.197,2.93338780482111e-14,"2","Gpx7"
"Prag1",1.92836172292609e-18,0.504806900776439,0.698,0.133,3.19953777067898e-14,"2","Prag1"
"Rilpl1",2.2401979283486e-18,0.541736469584246,1,0.349,3.716936402716e-14,"2","Rilpl1"
"Nfia",2.39485960031938e-18,0.285155046147352,0.837,0.17,3.97355104884992e-14,"2","Nfia"
"Maged21",2.95705360606751e-18,1.65260876642445,1,0.858,4.90634334318721e-14,"2","Maged2"
"Map4k5",3.01817645479518e-18,1.55665001715301,1,0.596,5.00775837379616e-14,"2","Map4k5"
"Col5a21",3.10571381090191e-18,0.82306941688037,0.953,0.28,5.15300035504846e-14,"2","Col5a2"
"Hapln1",3.28816231404052e-18,1.41092836425483,0.953,0.358,5.45571891145603e-14,"2","Hapln1"
"Gnas",3.40918807100464e-18,1.44634525599141,1,0.995,5.6565248474109e-14,"2","Gnas"
"Klhl4",3.41897982730348e-18,1.67082038545151,1,0.546,5.67277132946194e-14,"2","Klhl4"
"Etl4",3.80143570617778e-18,0.556926803449328,0.698,0.124,6.30734212369017e-14,"2","Etl4"
"Fam57a",4.13252922571602e-18,0.809000018995508,0.93,0.303,6.85669249130803e-14,"2","Fam57a"
"Ptprb1",4.15417088627815e-18,1.53380131446924,0.977,0.427,6.89260033451271e-14,"2","Ptprb"
"Rrbp1",4.83913548936931e-18,1.16178727822781,1,0.862,8.02909360396156e-14,"2","Rrbp1"
"Adgrf51",6.45256024007303e-18,1.38783509584598,1,0.408,1.07060879503292e-13,"2","Adgrf5"
"Spsb1",6.4943932657268e-18,0.465816838441835,0.488,0.037,1.07754973064939e-13,"2","Spsb1"
"Tnfaip8l1",6.87073556094089e-18,0.773085745586366,0.884,0.275,1.13999244427131e-13,"2","Tnfaip8l1"
"Rbms1",7.55486944735189e-18,0.969979584898417,1,0.72,1.25350393870463e-13,"2","Rbms1"
"Pecam11",7.82357966741787e-18,1.98045313915663,1,0.807,1.29808833841797e-13,"2","Pecam1"
"Robo4",8.30278082550521e-18,2.0056893405904,1,0.67,1.37759739456782e-13,"2","Robo4"
"Egfl7",8.5231947050501e-18,1.70778168396588,1,0.867,1.41416846546191e-13,"2","Egfl7"
"Reep1",8.83398379873365e-18,0.491451958146975,0.767,0.151,1.46573459188589e-13,"2","Reep1"
"Itga8",8.90959656613073e-18,0.372238278681486,0.372,0.009,1.47828026225241e-13,"2","Itga8"
"Tcf7l1",8.97419055430582e-18,0.556565497391817,0.86,0.248,1.48899769677042e-13,"2","Tcf7l1"
"Zbtb46",1.53720294934148e-17,0.53714695564934,0.93,0.261,2.55052713354739e-13,"2","Zbtb46"
"Il17rd",1.54561622091972e-17,0.381505457368229,0.605,0.078,2.56448643374999e-13,"2","Il17rd"
"Kctd12b",1.677255109995e-17,0.649550162868525,0.744,0.161,2.7829016785037e-13,"2","Kctd12b"
"Col4a1",1.72441272686044e-17,2.18196151968097,1,0.794,2.86114559640684e-13,"2","Col4a1"
"Zfp948",2.30567688704901e-17,0.760485562907898,0.93,0.266,3.82557909099172e-13,"2","Zfp948"
"Pls3",2.51470131770019e-17,1.34580172419894,0.953,0.463,4.17239242632816e-13,"2","Pls3"
"Epn2",2.72662011802671e-17,0.350576196034806,0.814,0.17,4.52400809982992e-13,"2","Epn2"
"Cdr2l",2.88991425285364e-17,0.713974799060754,0.907,0.317,4.79494572833476e-13,"2","Cdr2l"
"Hyal21",2.98765293879221e-17,1.34354150723103,1,0.596,4.95711375604404e-13,"2","Hyal2"
"Sox17",3.21856253697326e-17,0.260747826747488,0.721,0.142,5.34023896134603e-13,"2","Sox17"
"Mtss1",3.25628522848326e-17,1.04615978512462,1,0.55,5.40282845109943e-13,"2","Mtss1"
"Copg2",3.52274156700887e-17,0.253651368395741,1,0.335,5.84493280798111e-13,"2","Copg2"
"Dse",3.70682485197289e-17,0.351219117027998,0.767,0.142,6.15036379439341e-13,"2","Dse"
"Vangl1",3.80369499030487e-17,0.492674375115958,0.837,0.252,6.31109072791384e-13,"2","Vangl1"
"Emp1",3.82772674986441e-17,1.00607525083391,0.535,0.055,6.35096422337503e-13,"2","Emp1"
"Hdac7",4.19333499033883e-17,1.21938090770144,1,0.835,6.95758141597018e-13,"2","Hdac7"
"Tubb2a",4.61104220235702e-17,0.545306643281662,0.953,0.344,7.65064122215076e-13,"2","Tubb2a"
"Trim71",4.64382638234433e-17,0.252135632831026,0.93,0.271,7.70503673358572e-13,"2","Trim71"
"6430548M08Rik",4.82957434764172e-17,0.337683660693616,0.605,0.083,8.01322975760715e-13,"2","6430548M08Rik"
"Zfp462",5.14449174573572e-17,0.325100953223933,0.837,0.206,8.53574070452471e-13,"2","Zfp462"
"Slc2a1",5.97140524540546e-17,1.33644849862043,1,0.844,9.90775558317673e-13,"2","Slc2a1"
"Actg1",5.99181733514073e-17,1.12676035080112,1,1,9.9416233224655e-13,"2","Actg1"
"Nes",7.05462176622231e-17,0.61740264681066,0.907,0.303,1.17050284345161e-12,"2","Nes"
"Npdc1",7.41397448867569e-17,0.831138845299109,0.86,0.252,1.23012664716107e-12,"2","Npdc1"
"Mafb",8.87224017658349e-17,0.619363515460269,0.512,0.05,1.47208209009873e-12,"2","Mafb"
"Col4a21",9.04083859182182e-17,2.17781426582292,1,0.784,1.50005593915508e-12,"2","Col4a2"
"Gnai1",9.5478683079661e-17,0.387183161841674,0.744,0.156,1.58418230965774e-12,"2","Gnai1"
"Bcar3",9.61035162548207e-17,0.2826925060027,0.465,0.041,1.59454954169998e-12,"2","Bcar3"
"Myh101",1.01316593649717e-16,1.22117930059671,1,0.725,1.68104492183611e-12,"2","Myh10"
"Yap1",1.08917125971738e-16,0.750498400049953,0.953,0.372,1.80715295412307e-12,"2","Yap1"
"Cd81",1.23852288385664e-16,1.03665373058213,1,0.959,2.05495716889494e-12,"2","Cd81"
"Pde2a",1.40052562481835e-16,2.02202828249464,1,0.67,2.3237521166986e-12,"2","Pde2a"
"Sh3pxd2a",1.46505765982208e-16,0.57226378926606,1,0.431,2.43082366917679e-12,"2","Sh3pxd2a"
"Sec24d",1.49697235443646e-16,0.699119109816655,0.814,0.206,2.48377653048098e-12,"2","Sec24d"
"Robo1",1.59203050587935e-16,0.264751207661396,0.791,0.197,2.64149701535501e-12,"2","Robo1"
"Arap3",1.64681275341174e-16,1.39504039352753,1,0.615,2.73239172046076e-12,"2","Arap3"
"Elk3",1.81946571213292e-16,1.39947650738542,1,0.872,3.01885750957095e-12,"2","Elk3"
"Creb3l2",1.84588052842065e-16,1.01595672618914,0.977,0.573,3.06268497275554e-12,"2","Creb3l2"
"Sgk1",1.96384564611606e-16,1.89362182589514,0.953,0.491,3.25841269603576e-12,"2","Sgk1"
"Tead21",1.96722425890963e-16,0.962362731675845,1,0.587,3.26401849038286e-12,"2","Tead2"
"Fam102a",2.01711494264918e-16,0.992681690539934,1,0.555,3.34679711284352e-12,"2","Fam102a"
"Tro",2.03469334165917e-16,0.669018540414308,0.814,0.257,3.3759631924809e-12,"2","Tro"
"App",2.03674191922267e-16,1.32770698264649,1,0.697,3.37936219237426e-12,"2","App"
"Pdia6",2.23979619023775e-16,1.01753029849418,1,0.972,3.71626983884247e-12,"2","Pdia6"
"Tulp4",2.35531983788304e-16,0.564003559853536,1,0.872,3.90794667501554e-12,"2","Tulp4"
"Fkbp14",2.56387062341729e-16,0.519574469667117,0.698,0.124,4.25397413837396e-12,"2","Fkbp14"
"Prom1",2.58218026156895e-16,0.830636861042912,0.93,0.289,4.28435348999520e-12,"2","Prom1"
"Hic1",2.75018792475753e-16,0.299384793182306,0.535,0.064,4.56311180475769e-12,"2","Hic1"
"Tmsb10",2.80835196502407e-16,0.519774799651398,1,0.913,4.65961758036794e-12,"2","Tmsb10"
"Tmem184b",2.82671726070386e-16,1.3984054307529,1,0.734,4.69008927895985e-12,"2","Tmem184b"
"St6gal1",2.90383403449532e-16,0.701727148139804,0.837,0.239,4.81804143003463e-12,"2","St6gal1"
"Enah",3.08337288347906e-16,0.847344283337832,0.977,0.427,5.11593228826845e-12,"2","Enah"
"Eng",3.63633372807898e-16,1.60667739270161,1,0.917,6.03340492162865e-12,"2","Eng"
"Eogt",3.74046530517684e-16,1.22186083855994,0.86,0.326,6.20618003434941e-12,"2","Eogt"
"Fscn1",4.17288521053442e-16,0.497349860511311,1,0.844,6.92365114131871e-12,"2","Fscn1"
"Arpin",4.33600426557008e-16,0.370201160683093,0.628,0.11,7.19429827743387e-12,"2","Arpin"
"Auts2",4.60165271194516e-16,0.785818597393373,0.953,0.353,7.63506217965941e-12,"2","Auts2"
"Arhgef28",4.7460277316497e-16,0.69467200975782,0.837,0.229,7.87460921235319e-12,"2","Arhgef28"
"Lmcd1",5.02120030322978e-16,0.316451625423945,0.465,0.041,8.33117554311885e-12,"2","Lmcd1"
"Sept11",5.68809934926039e-16,0.989139838183068,1,0.844,9.43769444029285e-12,"2","Sept11"
"Nrep1",6.44735052686859e-16,1.22140073167598,0.953,0.555,1.06974439941804e-11,"2","Nrep"
"Snrk",6.99120919361299e-16,1.67705605507746,0.977,0.789,1.15998142940427e-11,"2","Snrk"
"Plekha1",7.08061105542949e-16,1.08089982233231,0.93,0.394,1.17481498631686e-11,"2","Plekha1"
"Smtn",7.15007782129339e-16,0.905379587928881,0.977,0.505,1.186340912109e-11,"2","Smtn"
"Cdc42bpb",7.46655857956778e-16,0.800150871017665,1,0.592,1.23885139952189e-11,"2","Cdc42bpb"
"Nhsl1",1.03673464388259e-15,0.454605092725721,0.953,0.353,1.72015012113e-11,"2","Nhsl1"
"Actn4",1.06917064835093e-15,1.10182940701439,1,0.95,1.77396793974386e-11,"2","Actn4"
"Phldb1",1.14643766832558e-15,1.04620314945275,0.953,0.486,1.90216937928581e-11,"2","Phldb1"
"Itga3",1.22986075249885e-15,0.473347319432028,0.605,0.096,2.04058496054609e-11,"2","Itga3"
"Esam",1.29835049588988e-15,1.47981543427609,1,0.761,2.15422314278048e-11,"2","Esam"
"Ece11",1.53555728193109e-15,1.01563501399272,1,0.679,2.54779664218006e-11,"2","Ece1"
"Acvr1",1.97179384375806e-15,0.936476204847351,0.93,0.408,3.27160034556337e-11,"2","Acvr1"
"Efemp21",2.00901894852272e-15,0.669241701297936,0.884,0.303,3.3333642393889e-11,"2","Efemp2"
"Ctnna1",2.16589764054676e-15,1.39964342340236,1,0.913,3.59365736519518e-11,"2","Ctnna1"
"Esm1",2.20024761086443e-15,0.57691136308585,0.326,0.009,3.65065083594626e-11,"2","Esm1"
"Col18a11",2.38854676744041e-15,1.82578131976419,1,0.761,3.96307679653713e-11,"2","Col18a1"
"Vwa1",2.39678755637771e-15,0.516433610399563,0.326,0.009,3.9767499135419e-11,"2","Vwa1"
"Farp1",2.43323591698193e-15,0.856860159278545,0.907,0.404,4.03722503345642e-11,"2","Farp1"
"Rasip11",2.85562399690597e-15,0.855783099417208,1,0.596,4.73805133566638e-11,"2","Rasip1"
"Akr1a1",2.86201117750285e-15,0.85075536739225,1,0.986,4.74864894571272e-11,"2","Akr1a1"
"Ppfibp1",3.70543220171367e-15,1.28282416384175,0.977,0.578,6.14805310908332e-11,"2","Ppfibp1"
"Yes1",4.03006495048171e-15,0.688674782943064,0.93,0.472,6.68668376583926e-11,"2","Yes1"
"Adgrl2",4.16274663032092e-15,1.22935362566406,0.977,0.546,6.90682920902847e-11,"2","Adgrl2"
"Mmp21",4.18594182745969e-15,1.31647771468644,1,0.495,6.94531468012111e-11,"2","Mmp2"
"Fblim11",4.22603655039833e-15,1.03810854233326,1,0.413,7.01183984442092e-11,"2","Fblim1"
"Zfp4231",4.46313234981291e-15,0.527208884160289,0.86,0.234,7.40522919480958e-11,"2","Zfp423"
"Sh2d3c",4.52102567958359e-15,1.16598875355222,1,0.693,7.5012858075651e-11,"2","Sh2d3c"
"Pros1",4.5659398814313e-15,0.499848484825811,0.93,0.294,7.57580745127081e-11,"2","Pros1"
"Stx2",4.64284632505735e-15,0.72643418442949,0.907,0.362,7.70341062253516e-11,"2","Stx2"
"Myo6",5.53607995799276e-15,1.03094454607365,0.907,0.394,9.18546386630158e-11,"2","Myo6"
"Trim16",5.59738877487271e-15,0.493559597340577,0.791,0.211,9.2871874552688e-11,"2","Trim16"
"Icam2",5.60041648360148e-15,1.0695734325244,0.977,0.716,9.29221102959158e-11,"2","Icam2"
"Hip1",5.89985679685479e-15,0.690887672531689,0.977,0.573,9.78904239734147e-11,"2","Hip1"
"Fzd4",6.13547283236463e-15,1.02100522851115,0.977,0.482,1.01799765234594e-10,"2","Fzd4"
"Piezo11",6.83592443266887e-15,0.943820555824128,1,0.72,1.13421658186842e-10,"2","Piezo1"
"Nav1",7.42541839838e-15,1.10828535100319,1,0.711,1.23202542065921e-10,"2","Nav1"
"Arhgap31",7.6528553017957e-15,1.06859375752429,1,0.638,1.26976175167394e-10,"2","Arhgap31"
"Trp53inp2",8.29563915432614e-15,0.399265179602028,0.884,0.289,1.37641244848579e-10,"2","Trp53inp2"
"Adgrg3",8.57678077054482e-15,0.879972806324509,0.977,0.445,1.4230594654488e-10,"2","Adgrg3"
"Dcbld1",9.06845150223123e-15,0.928610112515863,0.837,0.326,1.50463747325021e-10,"2","Dcbld1"
"Lrrc8c",9.14956882689901e-15,1.16069116266085,0.953,0.642,1.51809645975908e-10,"2","Lrrc8c"
"Dlgap41",9.37672220840727e-15,0.741164433245711,1,0.72,1.55578574881893e-10,"2","Dlgap4"
"Anxa6",9.6659332939187e-15,1.31459226395977,1,0.757,1.60377165212699e-10,"2","Anxa6"
"Plekhg2",1.01590573597293e-14,0.918065572322129,1,0.615,1.68559079712628e-10,"2","Plekhg2"
"Sntb1",1.0463502799146e-14,0.46482294075951,0.744,0.225,1.7361043844343e-10,"2","Sntb1"
"Ptk2",1.14339910252467e-14,0.994359769757931,1,0.56,1.89712779090892e-10,"2","Ptk2"
"Pdlim5",1.21316446647438e-14,0.939645568811349,1,0.482,2.01288248277429e-10,"2","Pdlim5"
"Tie11",1.23498074024565e-14,1.33807690047768,1,0.835,2.04908004421558e-10,"2","Tie1"
"Cped1",1.24829882467748e-14,0.272154129500281,0.465,0.05,2.07117740990488e-10,"2","Cped1"
"Ssu2",1.32065076687169e-14,0.470703017843677,0.442,0.046,2.1912237523935e-10,"2","Ssu2"
"Tanc1",1.46125798244781e-14,0.611876489140488,0.884,0.303,2.42451924447741e-10,"2","Tanc1"
"Nectin3",1.76326170068422e-14,0.613795116035012,0.907,0.317,2.92560381377525e-10,"2","Nectin3"
"Prdm1",1.81905216406808e-14,0.730714382412533,0.512,0.073,3.01817135062176e-10,"2","Prdm1"
"Klf7",1.93980622254816e-14,1.00333771997316,0.93,0.523,3.21852648445191e-10,"2","Klf7"
"Ywhaq",2.05729435661929e-14,0.868393618207858,1,0.995,3.41346279650273e-10,"2","Ywhaq"
"Macf1",2.20696896340944e-14,1.09096634778509,0.977,0.881,3.66180290408894e-10,"2","Macf1"
"Degs1",2.20701004967121e-14,1.10494344379174,0.977,0.771,3.66187107441448e-10,"2","Degs1"
"Aplp2",2.34412302669412e-14,1.03182771715312,1,0.927,3.88936892589088e-10,"2","Aplp2"
"Cgnl1",2.37015611569254e-14,0.930430041443614,0.93,0.417,3.93256302715706e-10,"2","Cgnl1"
"Fyn",2.44602229441329e-14,1.04478038335621,1,0.83,4.05844019089053e-10,"2","Fyn"
"Rnf19a",2.55574140813371e-14,0.961481616279821,0.977,0.541,4.24048614437545e-10,"2","Rnf19a"
"Itga9",2.56521797981317e-14,0.501324479412414,0.977,0.399,4.256209672106e-10,"2","Itga9"
"Frmd4b",2.79015112303466e-14,1.00238736863997,1,0.546,4.62941874333911e-10,"2","Frmd4b"
"Vash2",3.01396440773929e-14,0.298789487132673,0.698,0.151,5.00076974532103e-10,"2","Vash2"
"Foxc2",3.03152653947367e-14,0.363363257414433,0.628,0.133,5.02990883429472e-10,"2","Foxc2"
"Afap1",3.07058561352954e-14,0.429914929958797,0.767,0.202,5.09471564996821e-10,"2","Afap1"
"Ddah2",3.18886917833116e-14,0.979775803824544,1,0.757,5.29097174068706e-10,"2","Ddah2"
"Maged1",3.65096320812585e-14,1.11615374983856,1,0.849,6.05767815492241e-10,"2","Maged1"
"Lrrc8b",3.70510909820521e-14,0.382611701172609,0.86,0.312,6.14751701574208e-10,"2","Lrrc8b"
"Arhgap26",3.75699404972919e-14,0.288133919864023,0.698,0.165,6.23360452731066e-10,"2","Arhgap26"
"Agrn1",3.81626237854119e-14,0.984953650992495,0.977,0.532,6.33194253847554e-10,"2","Agrn"
"Id31",3.84060678095655e-14,1.21240874339763,0.93,0.472,6.37233477096311e-10,"2","Id3"
"Fmo1",4.11929887784024e-14,0.34850570222884,0.581,0.119,6.83474069811253e-10,"2","Fmo1"
"Pon3",4.12041159149407e-14,0.473357246683716,0.953,0.39,6.83658691260696e-10,"2","Pon3"
"Tubb5",4.6675778240514e-14,1.0396457019667,1,1,7.74444512566608e-10,"2","Tubb5"
"Ralb",5.62715250940204e-14,0.842929874080996,1,0.679,9.33657144359987e-10,"2","Ralb"
"Plxnb1",6.15022463900358e-14,0.359961045889458,0.581,0.101,1.02044527210347e-09,"2","Plxnb1"
"Afdn",6.27479786038832e-14,1.04359197950174,1,0.656,1.04111446099563e-09,"2","Afdn"
"Dennd2a",7.25114495732612e-14,0.782699697283139,0.953,0.399,1.20310997131955e-09,"2","Dennd2a"
"Cdh2",7.66822037555291e-14,0.498543024120288,0.558,0.096,1.27231112471174e-09,"2","Cdh2"
"Sptan1",8.72897104356564e-14,1.2705429886508,1,0.904,1.44831087554841e-09,"2","Sptan1"
"Cyfip1",9.06468381896783e-14,0.999030419977061,1,0.821,1.50401233924314e-09,"2","Cyfip1"
"Thsd11",9.21749227483588e-14,1.07745753961392,1,0.693,1.52936631824077e-09,"2","Thsd1"
"Zhx3",9.52273852513399e-14,0.479488754507413,0.884,0.372,1.58001277609023e-09,"2","Zhx3"
"Clec14a1",9.94962115778352e-14,1.16558991710539,0.907,0.404,1.65084114249944e-09,"2","Clec14a"
"Lpar6",1.03680255714292e-13,1.05202603393859,1,0.61,1.72026280281153e-09,"2","Lpar6"
"Usp43",1.04046412031571e-13,0.301443062446287,0.488,0.069,1.72633806842783e-09,"2","Usp43"
"Thbd",1.20178768273852e-13,0.988929176599528,0.814,0.271,1.99400612319975e-09,"2","Thbd"
"Kif1c",1.24038442047082e-13,0.413791565517747,0.837,0.335,2.05804583044519e-09,"2","Kif1c"
"Capn2",1.27031023698774e-13,1.19703530701416,1,0.78,2.10769874521006e-09,"2","Capn2"
"Ccnyl1",1.32535652097247e-13,0.713165607090646,0.977,0.564,2.19903153959753e-09,"2","Ccnyl1"
"Iffo2",1.35554349845424e-13,0.561948330468069,0.977,0.399,2.24911777263527e-09,"2","Iffo2"
"Fkbp101",1.36030733374976e-13,0.904426037711952,0.977,0.495,2.2570219281576e-09,"2","Fkbp10"
"Unc5b",1.3984287440607e-13,1.12415997929195,0.744,0.206,2.32027297214551e-09,"2","Unc5b"
"Igf2r",1.48170256200846e-13,0.554121343936275,1,0.647,2.45844089088444e-09,"2","Igf2r"
"Chn1",1.51325554017336e-13,0.338749091818307,0.767,0.211,2.51079359225564e-09,"2","Chn1"
"Tcf4",1.87061758185791e-13,1.32648580607236,1,0.894,3.10372869181864e-09,"2","Tcf4"
"Flnb",1.97490787768028e-13,1.01038431433012,1,0.683,3.27676715064713e-09,"2","Flnb"
"Plekho1",1.99149412878248e-13,0.69502285595108,1,0.78,3.30428705847588e-09,"2","Plekho1"
"Arhgef7",2.05533494325083e-13,0.751989954805066,1,0.711,3.41021173784178e-09,"2","Arhgef7"
"Lhfpl2",2.27902748141242e-13,1.21395259292249,0.791,0.289,3.78136239715949e-09,"2","Lhfpl2"
"Lck",2.36023157807684e-13,0.86985140700069,0.884,0.413,3.9160962343451e-09,"2","Lck"
"Prickle3",2.40940421763125e-13,0.437441072488471,0.837,0.294,3.99768347789376e-09,"2","Prickle3"
"Sptbn1",2.45835758586848e-13,1.12126935514658,0.977,0.959,4.07890690647299e-09,"2","Sptbn1"
"Lats2",2.53078522417841e-13,0.967199689564198,0.977,0.505,4.19907884395681e-09,"2","Lats2"
"Bag3",2.79952399771422e-13,0.329364152348284,0.93,0.353,4.64497021700743e-09,"2","Bag3"
"Ctnnd11",2.93194539121948e-13,0.865163151301847,1,0.807,4.86468379311136e-09,"2","Ctnnd1"
"F11r",3.12611304633309e-13,1.17736051845608,1,0.839,5.18684676647587e-09,"2","F11r"
"Slc43a3",3.17104321527772e-13,0.93335941187356,0.977,0.725,5.26139490278879e-09,"2","Slc43a3"
"Rgs31",3.21349734408036e-13,0.773803855024464,1,0.477,5.33183479329813e-09,"2","Rgs3"
"Plk2",3.27172123912807e-13,1.57374119908345,1,0.739,5.42843987996129e-09,"2","Plk2"
"Tmem120b",3.30725483712952e-13,0.359457073696427,0.767,0.234,5.4873972257653e-09,"2","Tmem120b"
"Sh3bp5",3.56955159011311e-13,0.834553219532104,0.93,0.532,5.92259999831567e-09,"2","Sh3bp5"
"Myo10",3.9722299279303e-13,0.632656656544513,0.977,0.468,6.59072389642195e-09,"2","Myo10"
"Zfp334",4.18224087362803e-13,0.272281455549282,0.767,0.216,6.93917405752363e-09,"2","Zfp334"
"Nol4l",4.64900105889294e-13,0.737915547508809,1,0.638,7.71362255691517e-09,"2","Nol4l"
"Adora2a",4.71261154339819e-13,0.854888543149005,0.907,0.417,7.81916507280628e-09,"2","Adora2a"
"Gpx3",6.07624502994873e-13,0.826281916894052,0.884,0.353,1.00817057536909e-08,"2","Gpx3"
"Jcad",6.42284506043531e-13,0.962233905998732,0.907,0.5,1.06567845242743e-08,"2","Jcad"
"Dll1",6.87740062718978e-13,0.791060578909607,0.512,0.092,1.14109831206333e-08,"2","Dll1"
"Dennd5b",6.996780709641e-13,0.632492352915622,0.907,0.408,1.16090585534363e-08,"2","Dennd5b"
"Bcl2l11",7.12979038778817e-13,0.409643162222025,0.791,0.248,1.18297482114181e-08,"2","Bcl2l11"
"Adamtsl2",7.36949558258806e-13,0.288068785663319,0.349,0.028,1.22274670706301e-08,"2","Adamtsl2"
"Pbx3",7.59128083256276e-13,0.399103039336485,0.86,0.358,1.25954531573881e-08,"2","Pbx3"
"Wtip",7.9308832783296e-13,0.347157480481255,0.93,0.335,1.31589215354045e-08,"2","Wtip"
"Ccn1",8.69077426332555e-13,1.24123340682128,0.744,0.202,1.44197326577098e-08,"2","Ccn1"
"Dolk",9.52974116699261e-13,0.390219436482576,0.837,0.303,1.58117465442741e-08,"2","Dolk"
"Coro2b",9.56615432669372e-13,1.08617862739096,0.907,0.56,1.58721632588502e-08,"2","Coro2b"
"Tbc1d12",9.77687812273127e-13,0.371104806308159,0.744,0.211,1.62217961812357e-08,"2","Tbc1d12"
"Arhgef10",9.92553698518786e-13,0.59608892761977,0.884,0.335,1.64684509658237e-08,"2","Arhgef10"
"Rap2a",1.20142348491803e-12,0.446895297581038,0.93,0.399,1.99340184617599e-08,"2","Rap2a"
"Stn1",1.21802019708185e-12,0.429376494099227,0.907,0.413,2.0209391109982e-08,"2","Stn1"
"Amotl21",1.28762030896187e-12,0.911620404435125,0.93,0.431,2.13641961662953e-08,"2","Amotl2"
"Epb41l2",1.30674081409154e-12,0.798179477897717,0.977,0.716,2.16814435874068e-08,"2","Epb41l2"
"Heph",1.34011544153885e-12,0.663880660734363,0.86,0.303,2.22351954060126e-08,"2","Heph"
"Cd93",1.41761798856126e-12,1.36694719223697,1,0.844,2.35211176662085e-08,"2","Cd93"
"Slc31a2",1.44135674192025e-12,0.553761477823576,0.884,0.358,2.39149910619407e-08,"2","Slc31a2"
"Itpr2",1.47894320634958e-12,0.435308176036482,0.791,0.266,2.45386256797522e-08,"2","Itpr2"
"Ext1",1.50007810848907e-12,0.849027090193279,0.907,0.436,2.48892959760506e-08,"2","Ext1"
"Ccnd11",1.77151364602227e-12,0.519740346307043,0.977,0.44,2.93929544148014e-08,"2","Ccnd1"
"Id2",1.79388736568916e-12,0.586100142117649,0.953,0.431,2.97641791715145e-08,"2","Id2"
"Taok2",1.85677446144384e-12,0.636555019001391,1,0.651,3.08076018642761e-08,"2","Taok2"
"Grb101",1.94932682676665e-12,1.0088864446979,1,0.844,3.23432307097123e-08,"2","Grb10"
"Morf4l2",1.99648444525157e-12,0.717645972966615,1,0.977,3.31256699156141e-08,"2","Morf4l2"
"Lpp1",2.10032131174774e-12,0.965936067816287,1,0.679,3.48485312045185e-08,"2","Lpp"
"Igf1",2.29772138768775e-12,1.19508774621526,0.93,0.468,3.81237932645151e-08,"2","Igf1"
