HVG
Sox17
Prex2
Tram2
Dst
Neurl3
Map4k4
Col3a1
Col5a2
Cavin2
Myo1b
Stat4
Stat1
Bmpr2
Wdr12
Raph1
Nrp2
Klf7
Fn1
Igfbp2
Tns1
Tmbim1
Tuba4a
Dnpep
Serpine2
Itm2c
Ncl
Hjurp
Hes6
Rnpepl1
Stk25
Bok
Pam
Ralb
Tmem37
Slc35f5
Srgap2
Pik3c2b
Btg2
Ptpn7
Nav1
Csrp1
Aspm
Rgs2
Pla2g4a
Hmcn1
Rgl1
Ncf2
Lamc1
Npl
Stx6
Cep350
Soat1
Pigc
Fmo1
Mpzl1
Pbx1
Nuf2
Rgs5
Fcgr3
Fcer1g
F11r
Pea15a
Cdc42bpa
Tmem63a
Enah
Degs1
Capn2
Cenpf
Ptpn14
Pacc1
Plxna2
Cd34
Fam171a1
Frmd4a
Mcm10
Celf2
Gata3
Fbh1
Ankrd16
Vim
Mrc1
Tubb4b
Npdc1
Gpsm1
Notch1
Egfl7
Col5a1
Ralgds
Gfi1b
Sptan1
Pkn3
Lrrc8a
Ass1
Aif1l
Eng
Sh2d3c
Stxbp1
Fam129b
Hspa5
Gsn
Ggta1
Dab2ip
Ptgs1
Nek6
Rnd3
Baz2b
Spc25
Klhl23
Itga6
Agps
Itga4
Itprid2
Nckap1
Calcrl
Tfpi
Slc43a3
Spi1
Ckap5
Mdk
Tspan18
Prr5l
Cd44
Lmo2
Cd59a
Rcn1
Actc1
Meis2
Bub1b
Knstrn
Chst14
Knl1
Gchfr
Dll4
Nusap1
Ehd4
Gatm
Sema6d
Fbn1
Dusp2
Ckap2l
Sirpa
4930402H24Rik
Atrn
Prnp
Prnd
Cds2
Tmx4
Jag1
Flrt3
Dstn
Rin2
Thbd
Cd93
Pygb
Id1
Tpx2
Ccm2l
Dnmt3b
Trp53inp2
Procr
2900097C17Rik
Myl9
Nnat
Tgm2
Lbp
Ppp1r16b
Mybl2
Ube2c
Cd40
Sulf2
Ptgis
Adnp
Aurka
Rbm38
Ctsz
Lama5
Cables2
Zbtb46
Sox18
Stmn2
Hey1
Zfp704
Fabp5
Car2
Fndc3b
Mecom
Skil
Anxa5
Ccna2
4932438A13Rik
Ankrd50
Fat4
Foxo1
Postn
Tm4sf1
Wwtr1
Lxn
Schip1
Gask1b
Sfrp2
Nes
Fdps
Efna1
She
Npr1
S100a16
S100a10
Ecm1
BC028528
Txnip
Gja5
Phgdh
Igsf3
Vangl1
Rhoc
Cttnbp2nl
Gstm1
S1pr1
Frrs1
Arhgap29
Camk2d
Tet2
Cenpe
Emcn
H2afz
Dapp1
Pdlim5
Ccn1
Ddah1
Adgrl2
Adgrl4
St6galnac3
Wls
Gem
Arhgef39
Tpm2
Gba2
Glipr2
Gne
Tmem246
Abca1
Ctnnal1
Pakap-ENSMUSG00000038729
Ptgr1
Slc31a2
Slc31a1
Alad
Rgs3
Nfib
Acer2
Mllt3
Hacd4
Tek
Mysm1
Jun
Pde4b
Plpp3
Gpx7
Spata6
Pik3r3
Kif2c
Ptprf
Cdc20
Mpl
Tie1
Slc2a1
Zfp69
Heyl
Cdca8
Csf3r
Gja4
Tinagl1
Laptm5
Rcc1
Rps6ka1
Selenon
Man1c1
Clic4
Id3
Hspg2
Ece1
Mfap2
Fblim1
Efhd2
Dhrs3
Plod1
Mthfr
Srm
Cptp
Agrn
Cdk6
Cyp51
Cd36
Nos3
Galnt11
Kmt2c
Cenpa
Tmem129
Tacc3
Mxd4
Sh3tc1
Crmp1
Cd38
Prom1
Ldb2
Ncapg
Slit2
Adgra3
Tbc1d1
Klf3
Klhl5
Apbb2
Limch1
Guf1
Fryl
Kit
Kdr
Igfbp7
Parm1
Uso1
Ccng2
Anxa3
Sparcl1
Lrrc8c
Cdc7
Tgfbr3
Pole
Noc4l
Ulk1
2900026A02Rik
Tmem119
Ssh1
Ung
Mlec
Cit
Taok3
Hectd4
Sh2b3
Clip1
Scarb1
Aacs
Hip1
Por
Hspb1
Cux1
Pcolce
Zscan21
Cyth3
Tecpr1
Flt1
Alox5ap
Gng11
Col1a2
Pon3
Pon2
Asb4
Asns
Cav1
Tspan12
Ube2h
Klhdc10
Mest
Podxl
Bpgm
Cald1
Creb3l2
Ubn2
Luc7l2
Hipk2
Tcaf1
Gimap4
Gimap6
Tmem176b
Hoxa9
Fkbp9
Abcg2
Mmrn1
Kdm3a
St3gal5
Vamp8
Capg
Tgoln1
Actg2
Dysf
Cyp26b1
Exoc6b
Pcyox1
Aak1
Arhgap25
Gata2
Nup210
Fbln2
Slc6a6
Fgd5
Frmd4b
Foxp1
Mtmr14
Mbd4
Plxnd1
Depp1
Cxcl12
Erc1
Bid
Slc2a3
Ptpn6
Tpi1
P3h3
Nop2
Ncapd2
Vwf
Ccnd2
Tspan9
Foxm1
Clec1b
Arhgdib
Pde3a
Ldhb
Lrmp
Dennd5b
Resf1
Myadm
Peg3
Clcn4
Ehd2
Ap2s1
Prkd2
Apoe
Nectin2
Plaur
Ltbp4
Pld3
Plekhg2
Zfp36
Gmfg
Zfp260
Capns1
Tyrobp
Haus5
Fxyd5
Gramd1a
Ccne1
Rcn3
Fcgrt
Ppp1r15a
Rasip1
Ldha
Herc2
Klf13
Tjp1
Slco3a1
AU020206
Mfge8
Polg
Prc1
Iqgap1
Il16
Ctsc
Fzd4
Prss23
Picalm
Myo7a
Lrrc32
Emsy
Mogat2
Lipt2
P4ha3
C2cd3
Ucp2
Fam168a
Arhgef17
Fchsd2
Pde2a
Cavin3
Dchs1
Sbf2
Lyve1
Ctr9
Parva
Arl6ip1
Plk1
Nupr1
Coro1a
Mapk3
Kif22
AI467606
Hsd3b7
Pycard
Tacc2
Plekha1
Htra1
Chst15
Adam12
Ptpre
Mki67
Ifitm1
Ifitm3
Chid1
Ctsd
Lsp1
H19
Igf2
Tspan32
Kcnq1ot1
Tnfrsf26
Cttn
Ccnd1
Insr
Mcoln1
Pnpla6
Stxbp2
Cers4
Efnb2
Col4a1
Col4a2
Atp11a
Gas6
Angpt2
Ckap2
Thsd1
Plat
Tcim
Fgfr1
Nrg1
Mtus1
Vegfc
Hpgd
Hmgb2
Palld
Cpe
Msmo1
Zfp868
Sugp2
Isyna1
Ushbp1
Plvap
Bst2
Tpm4
F2rl3
Hmox1
Mcm5
Gab1
Adgre5
Ier2
Junb
Man2b1
Mmp2
Mt1
Adgrg1
Adgrg3
Cdh11
Cdh5
Cmtm3
Exoc3l
Cenpt
Psmb10
Nfat5
Bcar1
Plcg2
Hsdl1
Zdhhc7
Foxc2
Zcchc14
Cbfa2t3
Sipa1l2
Nrp1
Amotl1
Slc44a2
Dnm2
Ldlr
Dock6
Cnn1
Anln
Aplp2
Ets1
Robo4
Esam
Vwa5a
Arhgef12
Mcam
H2afx
Bace1
Pcsk7
Tagln
Sidt2
Ncam1
Peak1
1700017B05Rik
Neo1
Pkm
Kif23
Smad3
Oaz2
Pclaf
Herc1
Tpm1
Anxa2
Ccnb2
Myzap
Cgnl1
Elovl5
Gsta4
Cd109
Col12a1
Myo6
Ttk
Ctsh
Zbtb38
Slc25a36
Rbp1
Amotl2
Trf
Alas1
Hyal2
Gpx1
Lamb2
Map4
Glb1
Cmtm7
Cmtm8
Tgfbr2
Itga9
Myd88
Snrk
Ano10
Lars2
Plekhg1
Akap12
Myct1
Ulbp1
Utrn
Plagl1
Phactr2
Myb
Sgk1
Epb41l2
Arhgap18
Ptprk
Hey2
Lama4
Mical1
Sesn1
Cd24a
Cep85l
Gja1
Oit3
Vsir
Unc5b
Sgpl1
Pald1
H2afy2
Srgn
Arid5b
Cdk1
Ccdc6
Bcr
Specc1l
Gucd1
Mif
Prmt2
Col18a1
